"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk Queue Length","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Read","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Transfer","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Write","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Memory Grants Pending","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Granted Workspace Memory (KB)","\\WIN2012R2\MSSQL$SQL2014:SQL Statistics\Batch Requests/sec","\\WIN2012R2\Process(sqlservr)\% Processor Time","\\WIN2012R2\Processor(_Total)\% Processor Time"
"04/08/2015 23:54:25.017","0.00099999890000121005","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.00010999987900550678"
"04/08/2015 23:54:26.017","0.00099986831734260608","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.013168265739404994"
"04/08/2015 23:54:27.017","0.0022000008800003518","0","0.00044000000000000002","0.00044000000000000002","0","0","0","0","0"
"04/08/2015 23:54:28.001","0.0013206321032864336","0","0.00043333333333333331","0.00043333333333333331","0","0","0","0","0.0002133328782183419"
"04/08/2015 23:54:29.017","0.014375410093034504","0","0.00097333333333333332","0.00097333333333333332","0","0","0","0","0"
"04/08/2015 23:54:30.017","0.00089999586001904394","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.00045999788400585828"
"04/08/2015 23:54:31.017","0.050999306409432829","0.0029666666666666665","0.00077272727272727269","0.00066825396825396827","0","0","159.98611320537375","9.3748725017339751","5.079410920011485"
"04/08/2015 23:54:32.015","0.01663161170436649","0","0.00047428571428571431","0.00047428571428571431","0","0","0","0","0.20094193032696994"
"04/08/2015 23:54:33.015","0.0066000026400010563","0","0.00055000000000000003","0.00055000000000000003","0","0","0","0","0"
"04/08/2015 23:54:34.015","0.0027000016200009721","0","0.00045000000000000004","0.00045000000000000004","0","0","0","0","0"
"04/08/2015 23:54:35.007","0.0010085040083496063","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","1.1193385988672255"
"04/08/2015 23:54:36.020","0.00098700226586110164","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0"
"04/08/2015 23:54:37.016","0.0013043409772062402","0","0.00043333333333333331","0.00043333333333333331","0","0","0","0","0"
"04/08/2015 23:54:38.016","0.028400059640125243","0","0.014200000000000001","0.014200000000000001","0","0","0","0","0"
"04/08/2015 23:54:39.016","0.00089999919000072898","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0.39071964835231121"
"04/08/2015 23:54:40.016","0.00099999960000015991","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.39065984373606311"
"04/08/2015 23:54:41.005","0.034810548648652476","0.00445","0.00098285714285714296","0.00077272727272727269","0","0","97.145864616915901","1.5811477402185901","3.549987846666014"
"04/08/2015 23:54:42.020","0.018802031052489464","0.0028","0.00079583333333333329","0.00070869565217391293","0","0","0","0","2.7136449686306352"
"04/08/2015 23:54:43.012","0.0062495350648308625","0","0.00051666666666666668","0.00051666666666666668","0","0","0","0","0.77603097672773735"
"04/08/2015 23:54:44.018","0.00099403835437348047","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0"
"04/08/2015 23:54:45.004","0.0065971844434736995","0","0.00072222222222222219","0.00072222222222222219","0","0","0","0","0.48718684687873992"
"04/08/2015 23:54:46.019","0.023039963703195644","0","0.00060000000000000006","0.00060000000000000006","0","0","63.015161250874577","6.1538364591868708","1.1539969512417314"
"04/08/2015 23:54:47.013","0.0024148948298208521","0","0.00047999999999999996","0.00047999999999999996","0","0","0","0","0.95157924562911944"
"04/08/2015 23:54:48.029","0.015753458376409197","0","0.00080000000000000004","0.00080000000000000004","0","0","0","0","0.0024614778713183405"
"04/08/2015 23:54:49.021","0.0028218057863949454","0","0.00069999999999999999","0.00069999999999999999","0","0","0","0","0"
"04/08/2015 23:54:50.007","0.00081184498063648243","0","0.00040000000000000002","0.00040000000000000002","0","0","0","0","0.10501214824533145"
"04/08/2015 23:54:51.010","0.060072433607009923","0","0.0020793103448275862","0.0020793103448275862","0","0","95.639639402694598","1.5566032754718575","4.6580543584792133"
"04/08/2015 23:54:52.025","0.033304810751817675","0.0057666666666666665","0.0014083333333333333","0.00078571428571428575","0","0","0","0","3.0046654324836553"
"04/08/2015 23:54:53.012","0.0048658850568467161","0","0.00039999999999999996","0.00039999999999999996","0","0","0","0","0"
"04/08/2015 23:54:54.013","0.00099882009382316677","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.11799061768332786"
"04/08/2015 23:54:55.029","0.00098448520235059635","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.39779109086177655"
"04/08/2015 23:54:56.013","0.00091428692172495064","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:54:57.029","0.0023630734329992374","0","0.00047999999999999996","0.00047999999999999996","0","0","0","0","0"
"04/08/2015 23:54:58.029","0.00100000040000016","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0"
"04/08/2015 23:54:59.027","0.00090154244897595296","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:55:00.022","0.00090442144511875206","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:55:01.006","0.062272965263875851","0","0.00088840579710144929","0.00088840579710144929","0","0","162.54521423713214","7.9365014865257768","4.7619821616906925"
"04/08/2015 23:55:02.022","0.050018471388252828","0.0061666666666666667","0.00089122807017543858","0.00059814814814814822","0","0","0","0","2.3076730698186942"
"04/08/2015 23:55:03.008","0.0039572374829534383","0","0.00048749999999999998","0.00048749999999999998","0","0","0","0","1.3068726053639845"
"04/08/2015 23:55:04.010","0.00099747290240176519","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0"
"04/08/2015 23:55:05.012","0.00079822036769023458","0","0.00040000000000000002","0.00040000000000000002","0","0","0","0","0"
